y,x,number,type
9,0,All,laboratory
9,1,All,residential
9,2,1,barbershop
9,2,1,retail
9,2,All,residential
8,0,5,office
8,0,All,residential
8,1,2,laboratory
8,1,All,laboratory
8,2,All,residential
8,3,All,laboratory
8,4,All,university
8,7,3,retail
8,7,All,office
8,8,1,clinic
8,8,1,residential
8,8,1,skill school
8,8,All,retail
7,1,All,laboratory
7,2,All,university
7,3,1,retail
6,3,3,residential
7,3,All,university
7,4,All,laboratory
7,5,4,house
7,5,4,residential
7,5,4,residential
7,5,4,residential
7,5,All,apartments
7,6,1,house
7,6,1,office
7,6,1,university
7,6,3,retail
7,6,4,residential
7,6,All,apartments
7,7,1,office
7,7,2,retail
7,7,All,apartments
7,7,All,apartments
7,8,1,office
7,8,All,retail
6,0,2,apartments
6,0,All,house
6,1,1,pachinko
6,1,All,house
6,2,13,laboratory
6,3,1,barbershop
6,3,All,university
6,4,1,church
6,4,1,office
6,4,1,residential
6,4,1,retail
6,4,All,apartments
6,5,1,retail
6,5,3,residential
6,5,All,apartments
6,6,4,retail
6,6,15,residential
6,6,All,apartments
6,7,1,clinic
6,7,1,office
6,7,3,barbershop
6,7,4,retail
6,7,All,apartments
6,8,2,residential
6,8,All,apartments
5,0,1,house
5,0,All,apartments
5,1,All,house
5,2,2,barbershop
5,2,4,house
5,2,4,residential
5,2,All,apartments
5,3,2,residential
5,3,4,hall
5,3,8,apartments
5,3,All,university
5,4,All,university
5,5,All,university
5,6,All,museum
5,7,All,museum
4,0,1,nursery
4,0,All,miscellaneous
4,1,1,clinic
4,1,1,karaoke_box
4,1,1,skill school
4,1,2,residential
4,1,2,retail
4,1,All,apartments
4,2,1,barbershop
4,2,1,university
4,2,2,retail
4,2,3,restaurant
4,2,All,apartments
4,3,1,retail
4,3,3,restaurant
4,3,3,university
4,3,4,residential
4,3,All,apartments
4,4,1,office
4,4,1,retail
4,4,2,restaurant
4,4,All,residential
4,5,4,restaurant
4,5,All,apartments
4,6,All,museum
4,8,All,hall
3,0,1,office
3,0,2,apartments
3,0,All,house
3,1,1,laboratory
3,1,1,restaurant
3,1,All,house
3,2,3,laboratory
3,2,All,apartments
3,3,1,hospital
3,3,All,laboratory
3,4,1,hospital
3,4,2,laboratory
3,4,All,residential
3,5,1,barbershop
3,5,1,school
3,5,4,retail
3,5,6,restaurant
3,5,All,apartments
3,6,1,karaoke_box
3,6,1,retail
3,6,All,apartments
3,7,All,apartments
2,1,All,apartments
2,2,1,laboratory
2,2,2,restaurant
2,2,2,retail
2,2,All,apartments
2,3,3,office
2,3,All,apartments
2,4,1,hospital
2,4,1,university
2,4,All,apartments
2,5,2,hall
2,5,3,university
2,5,All,laboratory
2,6,1,restaurant
2,6,1,retail
2,6,All,apartments
2,7,1,clinic
2,7,2,hospital
2,7,3,restaurant
2,7,3,retail
2,7,All,apartments
2,8,1,laboratory
2,8,1,skill school
2,8,All,apartments
1,0,3,retail
1,0,All,house
1,1,1,apartments
1,1,1,clinic
1,1,1,restaurant
1,1,1,retail
1,1,1,skill school
1,1,All,house
1,2,1,restaurant
1,2,1,retail
1,2,2,office
1,2,All,apartments
1,3,1,office
1,3,1,restaurant
1,3,1,retail
1,3,1,skill school
1,3,2,barbershop
1,3,All,apartments
1,4,1,restaurant
1,4,All,office
1,5,1,restaurant
1,5,1,university
1,5,All,residential
1,6,4,museum
1,6,All,school
1,7,1,hotel
1,7,1,bus_terminal
1,7,All,apartments
1,8,1,school
1,8,3,office
1,8,All,apartments
1,9,All,apartments
0,1,1,nursery
0,1,All,school
0,5,1,hall
0,5,1,restaurant
0,5,2,hotel
0,5,All,apartments
0,6,1,hotel
0,6,1,mall
0,6,All,office
0,7,1,apartments
0,7,2,office
0,7,All,mall
0,8,1,hall
0,8,2,mall
0,8,3,apartments
0,8,All,office
0,9,1,train_station
0,9,1,mall
0,9,1,office
0,9,All,apartments
