time_stamp,disease_name,agent_id,agent_profession,agent_location,agent_node_id,current_state,next_state
7875,covid,176,student,home,2598219151_centroid,asymptomatic,recovered
17290,covid,481,university_student,home,5297201503_centroid,asymptomatic,symptomatic
44575,covid,688,university_student,home,3389130672_centroid,asymptomatic,symptomatic
46780,covid,642,university_student,Evacuation_Point,1577880569_centroid,asymptomatic,recovered
56895,covid,32,student,Evacuation_Point,2660575052_centroid,asymptomatic,symptomatic
66100,covid,711,university_student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
73585,covid,606,university_student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
77385,covid,530,university_student,Evacuation_Point,2258389243_centroid,asymptomatic,symptomatic
77525,covid,674,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
81370,covid,674,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
84885,covid,393,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
91920,covid,330,student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
92175,covid,432,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
97285,covid,20,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
98515,covid,432,student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
103790,covid,32,student,Evacuation_Point,2660575052_centroid,symptomatic,recovered
105740,covid,277,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
107605,covid,471,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
107710,covid,744,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
110705,covid,649,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
117170,covid,454,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
119430,covid,433,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
121800,covid,433,student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
122330,covid,20,student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
122720,covid,283,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
127995,covid,748,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
128095,covid,611,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
130580,covid,234,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
133045,covid,704,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
133625,covid,170,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
133900,covid,483,university_student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
134085,covid,393,student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
135280,covid,149,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
136485,covid,598,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
137150,covid,627,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
138015,covid,663,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
138315,covid,531,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
138840,covid,742,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
139710,covid,595,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
143620,covid,259,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
144950,covid,468,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
147555,covid,623,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
147610,covid,420,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
148355,covid,708,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
149590,covid,99,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
150075,covid,748,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
150365,covid,649,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
150755,covid,742,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
151465,covid,234,student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
151910,covid,283,student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
153965,covid,560,university_student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
153965,covid,726,university_student,Evacuation_Point,2258389243_centroid,exposed,asymptomatic
154445,covid,302,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
156770,covid,46,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
157195,covid,705,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
158045,covid,440,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
161585,covid,663,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
162680,covid,600,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
163775,covid,708,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
163910,covid,486,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
164585,covid,560,university_student,Evacuation_Point,2258389243_centroid,asymptomatic,symptomatic
164865,covid,259,student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
165465,covid,442,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
165510,covid,178,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
166540,covid,595,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
167015,covid,373,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
168530,covid,721,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
168930,covid,699,university_student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
169795,covid,486,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
170055,covid,442,student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
170610,covid,600,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,recovered
171035,covid,274,student,Evacuation_Point,4801751333_centroid,exposed,asymptomatic
171145,covid,611,university_student,Evacuation_Point,4801751333_centroid,asymptomatic,symptomatic
